"Tilda UID",Brand,SKU,Category,Title,Description,Text,Photo,Price,Quantity,"Price Old",Editions,Modifications,"External ID","Parent UID","SEO title","SEO descr","FB title","FB descr"
657472704518,,145481,"Все TEREX","Рулевая тяга TEREX 820/825/860","Каталожный номер: 145481<br />","Рулевая тяга экскаватора-погрузчика. Практикуется использование на моделях TEREX 820/825/860 (в состав входят: шарнирное соединение 350878 и рулевой наконечник 351144).<br />Подходит как для левой стороны, так и для правой. <br />Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO. <br /><br />Кросс-номера: 11988150, S06/41581, 6112445M91, CA0145481, 133743621, 11359750, 700544A1, 68978 <br />Номер SRR (заводской номер): 90TR110<br /><br />Вес: 4,5 кг<br />",https://static.tildacdn.com/tild6262-3262-4632-a432-633831313538/photo_2020-02-03_22-.jpeg,4500.0000,,,,,igNEhRSv3VMyHbTh3Kkr,,"Рулевая тяга Terex 820/825/860","Рулевая тяга для экскаватора-погрузчика Terex 820/825/860 (в состав входят: шарнирное соединение 350878 и рулевой наконечник 351144). Подходит как для левой стороны, так и для правой. Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции.",,
866831214734,," 146134","Все TEREX","Рулевая тяга для TEREX 970","Каталожный номер:146134<br />","Рулевая тяга для экскаватора-погрузчика TEREX 970 (в состав входят: шарнирное соединение 351504 и рулевой наконечник 352360)<br />Одинаково подходит для обеих сторон. Практикуется использование в переднем мосту экскаваторов-погрузчиков TEREX 970.<br />Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br /><br />Кросс-номера: AT196175, 6194264M91, 1000139063<br /> Номер SRR (заводской номер): 90TR130<br /><br />Вес: 4,5 кг<br />",https://static.tildacdn.com/tild6136-6163-4234-a135-633736376362/___.png,4500.0000,,,,,0kINkAPpPLStD5RBFLto,,"Рулевая тяга Terex 970","Рулевая тяга экскаватора-погрузчика TEREX 970 ( в состав входят: шарнирное соединение 351504 и рулевой наконечник 352360). Одинаково подходит для обеих сторон. Практикуется использование в переднем мосту экскаваторов-погрузчиков TEREX 970. Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции.",,
692062482038,,123153,"Все TEREX","Рулевая тяга для TEREX 970","<br />Артикул: 123153<br />","Рулевая тяга, устанавливаемая на экскаватор-погрузчик TEREX 970 (в состав входят: шарнирное соединение 351504 и рулевой наконечник 352360).<br />Одинаково подходит для обеих сторон. Практикуется использование в переднем мосту экскаваторов-погрузчиков TEREX 970.<br />Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br /><br />Кросс-номера: 132751, 139168, 123153<br />Номер SRR (заводской номер): 123153<br /><br />Вес: 4,1 кг<br />",https://static.tildacdn.com/tild3763-3438-4431-b266-316363343930/photo_2020-02-03_22-.jpeg,4500.0000,,,,,Vt3MldkKSEasgjtbYivP,,"Рулевая тяга для TEREX 970","Рулевая тяга, устанавливаемая на экскаватор-погрузчик TEREX 970 (в состав входят: шарнирное соединение 351504 и рулевой наконечник 352360). Одинаково подходит для обеих сторон. Практикуется использование в переднем мосту экскаваторов-погрузчиков TEREX 970.",,
989927258932,,139168,"Все TEREX","Рулевая тяга TEREX 970","Артикул: 139168","Рулевая тяга, устанавливаемая на экскаватор-погрузчик TEREX 970 (в состав входят: шарнирное соединение 351504 и рулевой наконечник 352360).<br />Одинаково подходит для обеих сторон. Практикуется использование в переднем мосту экскаваторов-погрузчиков TEREX 970.<br />Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br /><br />Кросс-номера: 132751, 139168, 123153<br /> Номер SRR (заводской номер): 139168<br /><br />Вес: 4,1 кг<br />",https://static.tildacdn.com/tild3162-3839-4662-b962-346538623236/photo_2020-02-03_22-.jpeg,4500.0000,,,,,VEJ0yTsEs76FYnnv2ZoO,,"Рулевая тяга TEREX 970","Рулевая тяга, устанавливаемая на экскаватор-погрузчик TEREX 970 (в состав входят: шарнирное соединение 351504 и рулевой наконечник 352360). Одинаково подходит для обеих сторон. Практикуется использование в переднем мосту экскаваторов-погрузчиков TEREX 970.",,
275686521574,,132751,"Все TEREX","Рулевая тяга TEREX","Артикул: 132751<br />","Рулевая тяга, устанавливаемая на экскаватор-погрузчик TEREX 970 (в состав входят: шарнирное соединение 351504 и рулевой наконечник 352360).<br />Одинаково подходит для обеих сторон.<br />Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br /><br />Кросс-номера: 132751, 139168, 123153<br />Номер SRR (заводской номер): 132751<br /><br />Вес: 4,1 кг<br />",https://static.tildacdn.com/tild3761-3633-4663-b334-653937623665/___.png,4500.0000,,,,,b4hUCDi7R8ZPT61o5dh6,,"Рулевая тяга TEREX","Рулевая тяга, устанавливаемая на экскаватор-погрузчик TEREX 970 (в состав входят: шарнирное соединение 351504 и рулевой наконечник 352360). Одинаково подходит для обеих сторон.",,
832887074693,," VOE15189132","Все Volvo","Рулевая тяга в сборе Volvo BL61B, BL71B","Артикул: VOE15189132<br />","Рулевая тяга Volvo BL61B, BL71B.<br />В комплект входят ключевые элементы рулевого управления - рулевые наконечники.<br />Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br />Кросс-номера:<br />11988150, S06/41581, 6112445M91, CA0145481, 1-33-743-621, VOE11988150, CA0145481, 11359750, 700544A1, 68978, 145481<br /><br />Номер SRR (заводской номер): 90VL70<br />Вес: 4,5 кг<br />",https://static.tildacdn.com/tild3064-6166-4231-b732-313663626134/photo_2020-02-03_22-.jpeg,4500.0000,,,,,74sMRKo0BHirAKufeLud,,"Рулевая тяга в сборе Volvo BL61B, BL71B","Рулевая тяга Volvo BL61B, BL71B. В комплект входят ключевые элементы рулевого управления - рулевые наконечники.",,
152148369861,,134036,"Все Volvo","Рулевая тяга в сборе для Volvo 11712459, VOE11712459, VOE15189110, 15189110","Вес: 2,6 кг","Рулевая тяга на: <br />Volvo 11712459 <br />Cnh 401052A1 <br />Fermec - Terex 6194097M91 <br />Komatsu CA0134036 <br />Randon 219000789<br /><br /><br />В комплект входят ключевые элементы рулевого управления - рулевые наконечники.<br />Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR и Carraro, который располагается на территории Турции и Италии. <br />Компания SRR и Carraro выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.<br /><br />Кросс-номера:<br />CA0134036, 11712459, 401052A1, 219000789, 6194097M91",https://static.tildacdn.com/tild3065-3666-4438-b761-613332366637/___.png,4500.0000,,5500,,,sGgVjJAYGMxHpGiZ8ofN,,"Рулевая тяга в сборе для Volvo 11712459, VOE11712459, VOE15189110, 15189110","Рулевая тяга на Volvo №134036 В комплект входят ключевые элементы рулевого управления - рулевые наконечники.​ Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции. Кросс-номера: CA0134036, 11712459, 401052A1, 219000789, 6194097M91",,
848692504944,,CA0130168,"Все Volvo","Рулевые тяги для VOLVO BL60, BL61, BL61+, BL61 Plus",CA0130168,"Рулевая тяга на VOLVO BL60, BL61, BL61+, BL61 Plus<br />В комплект входят ключевые элементы рулевого управления - рулевые наконечники.<br />Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.",https://static.tildacdn.com/tild3762-3564-4732-b637-343439663032/photo_2020-02-03_22-.jpeg,4500.0000,,,,,US3mEXR6has810DprCIK,,"Рулевая тяга для VOLVO BL60, BL61, BL61+, BL61 Plus","Рулевая тяга для VOLVO BL60, BL61, BL61+, BL61 Plus. В комплект входят ключевые элементы рулевого управления - рулевые наконечники. Рулевые тяги, представленные на нашем сайте, производятся на заводе SRR, который располагается на территории Турции.",,
284045042797,,S06/42782,"Все HIDROMEK","Рулевая Тяга HİDROMEK 102B","Номер SRR (заводской номер): 90HD426<br />Вес: 4,5 кг <br />  <br />","Каталожный номер: S0642782 ( в состав входит шарнирное соединение и рулевой наконечник). S0642782 ; S06/42782.<br />Рулевые тяги, представленные на нашем сайте, изготавливаются в Турции на заводе SRR.<br />Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO. <br /><br /> Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники. <br /><br /> Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! <br /><br />",https://static.tildacdn.com/tild3631-6536-4566-b261-353138326366/photo_2020-02-03_22-.jpeg,7700.0000,,8900,,,TVP5FmtkzPS7UTeAki3R,,"S0642782 ; S06/42782 Рулевая Тяга HİDROMEK 102B","Каталожный номер: S0642782 ( в состав входит шарнирное соединение и рулевой наконечник). Рулевые тяги​, представленные на нашем сайте, изготавливаются в Турции на заводе SRR. Компания SRR выпускает оригинальную продукцию для экскаваторов-погрузчиков JCB, Caterpillar, Komatsu , CASE, Hidromek, Terex, VOLVO.",,
274022669870,,S06/44065,"Все HIDROMEK","Рулевая Тяга HIDROMEK 102B","Вес: 4,5 кг","Каталожный номер: S0644065 (состоит из шарнирного соединения и рулевого наконечника). S0644065 ; S06/44065.<br /><br /> Турецкая компания Hatve Gear Industry Co. Ltd. Является мировым брендом и ведущим производителем дифференциалов, зубчатых колес и шестерней, а также осуществляет изготовление червячных колес. Качество наших запчастей значительно превосходит запчасти китайских аналогов.<br /><br /> Компания ООО «Джи Си Би Евро» ценит каждого клиента, поэтому для постоянных клиентов компании действуют скидки и возможность отгрузки запчастей день в день, не дожидаясь поступления денежных средств на расчетный счёт. Наши менеджеры проконсультируют вас и помогут с поиском и подбором запчастей для вашей техники. <br /><br /> Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно! <br /><br />",https://static.tildacdn.com/tild6234-6464-4562-a138-353932303535/photo_2020-02-03_22-.jpeg,6600.0000,,,,,9AL8mizcfVEXG8Ts0Zkf,,"S0644065 ; S06/44065 Рулевая Тяга HIDROMEK 102B","Каталожный номер: S0644065 (состоит из шарнирного соединения и рулевого наконечника).Доставка по Москве 500 рублей, по Московской области 1000 рублей. При оптовом заказе Доставка – Бесплатно!",,
