"Tilda UID",Brand,SKU,Category,Title,Description,Text,Photo,Price,Quantity,"Price Old",Editions,Modifications,"External ID","Parent UID","SEO title","SEO descr","FB title","FB descr"
637339504924,,450/10226,"Тормозная система","Диск тормозной JCB",450/10226,"Наш интернет-магазин предлагает тормозные диски модели 450/10226 по демократичной цене. Эти запчасти оригинальные, выполнены из высококачественных материалов, подходят для экскаваторов-погрузчиков JCB. При правильной установке работают эффективно, с ними тормозная система будет в полном порядке. Чтобы заказать эту и другие детали для спецтехники, просто добавьте товар в корзину. Также возможен оперативный монтаж на вашу модель. Для получения подробной консультации позвоните по телефону, который дан на сайте, или сформируйте заявку на обратный звонок.",https://static.tildacdn.com/tild3166-3736-4262-b130-626136646630/1.png,790.0000,,,,,637339504924,,,,,
861425670698,,126/00200,"Тормозная система","Бачок тормозной жидкости JCB",126/00200,"Данный бачок для залива тормозной гидравлической жидкости устанавливался на экскаваторы-погрузчики JCB 3CX, JCB 4CX с тормозной системой, при которой усилие передается от педали тормоза на главные тормозные цилиндры посредством создания необходимого давления вакуумными усилителями тормоза и подачей гидравлической жидкости в каналы тормозного суппорта заднего моста.",https://static.tildacdn.com/tild3437-3764-4039-b165-326361653564/2.png,990.0000,,,,,861425670698,,,,,
860329223348,,15/920160,"Тормозная система","Тормозные колодки ручного тормоза JCB",15/920160,"Комплект тормозных колодок стояночного тормоза прямоугольные JCB 15/920160, 452/02700 старого образца для экскаваторов-погрузчиков JCB до 2002 года выпуска.",https://static.tildacdn.com/tild6134-3933-4761-b538-383632626130/3.png,1190.0000,,,,,860329223348,,,,,
890415796991,,15/920103,"Тормозная система","Тормозные колодки ручного тормоза круглые JCB",15/920103,"Комплект тормозных колодок стояночного тормоза круглые JCB 15/920103 нового образца для экскаваторов-погрузчиков JCB после 2000 года выпуска. Оригинальное название: Kit-pad brake pad",https://static.tildacdn.com/tild6136-6232-4162-b337-616161303634/4.png,1390.0000,,,,,890415796991,,,,,
596522231869,,15/905501,"Тормозная система","Вакуумный усилитель тормозов JCB",15/905501,"Вакуумный усилитель тормозов JCB <br />",https://static.tildacdn.com/tild3735-3631-4436-a237-383664303162/5.png,7590.0000,,,,,596522231869,,,,,
116307050090,,15/920110,"Тормозная система","Тормозной цилиндр JCB Perkins",15/920110,"Цилиндр Perkins 15/920110 - важный элемент тормозной системы. Применяется для старых моделей JCB, таких как 3CХ и 4СХ, где представлены автоматически регулируемые дисковые тормоза. Чтобы работа системы была бесперебойной, важно следить за тем, чтобы все детали были исправными. Качество этого цилиндра проверено при работе спецтехники даже в сложных погодных условиях, он изготовлен из добротных материалов. Его несложно установить и отрегулировать.",https://static.tildacdn.com/tild3465-6665-4833-a330-386638346363/6.png,4590.0000,,,,,116307050090,,,,,
463490914877,,15/920389,"Тормозная система","Главный тормозной цилиндр",15/920389,"Главный тормозной цилиндр 15/920389, 15/905504, 15/920158 является центральным элементом данной системы. Такая запчасть устанавливается на экскаватор-погрузчик с двумя основными целями. Во-первых, она препятствует произвольному движению транспорта в нерабочее время. Во-вторых, она позволяет замедлять скорость спецтехники и полностью останавливать ее. Элемент воздействует на тормозные колодки дискового типа.",https://static.tildacdn.com/tild6361-3561-4262-a366-373832393332/7.png,2790.0000,,,,,463490914877,,"Главный тормозной цилиндр","Главный тормозной цилиндр 15/920389, 15/905504, 15/920158 является центральным элементом данной системы. Такая запчасть устанавливается на экскаватор-погрузчик с двумя основными целями. Во-первых, она препятствует произвольному движению транспорта в нерабочее время. Во-вторых, она позволяет замедлять скорость спецтехники и полностью останавливать ее. Элемент воздействует на тормозные колодки дискового типа.",,
641312928134,,450/10226,"Тормозная система","Диск тормозной JCB",450/10226,"Наш интернет-магазин предлагает тормозные диски модели 450/10226 по демократичной цене. Эти запчасти оригинальные, выполнены из высококачественных материалов, подходят для экскаваторов-погрузчиков JCB. При правильной установке работают эффективно, с ними тормозная система будет в полном порядке. Чтобы заказать эту и другие детали для спецтехники, просто добавьте товар в корзину.",https://static.tildacdn.com/tild3832-6437-4437-b131-633663396532/8.png,790.0000,,,,,641312928134,,,,,
139588357802,,450/10224,"Тормозная система","Диск фрикционный заднего моста",450/10224,"Тормозной диск фрикционный с феррадо заднего моста JCB 450/10224",https://static.tildacdn.com/tild3864-3733-4535-b233-363332353931/9.png,790.0000,,,,,139588357802,,,,,
522842747747,,332/H3679,"Тормозная система","Энергоаккумулятор тормозной JCB",332/H3679,"Энергоаккумулятор тормозной заряженый 332/H3679 для JCB 3CX/4CX Производство: FRANCE. <br /> Расположение: справа по ходу движения под капотом возле турбины экскаватора-погрузчика JCB 3CX/4CX. <br /><br />",https://static.tildacdn.com/tild6637-3935-4461-b134-646664613362/10.png,12990.0000,,,,,522842747747,,,,,
